ECU,DTC Code,DTC Description,Total Occurrences
BCM Hella,B224A15,Right stop lamp circuit short to battery,15.0
EMS Bosch XETA Cube Falcon4,NO DTC PRESENT,Before power latch universal clear DTC failed,15.0
EMS Bosch XETA Cube Falcon4,P1C0615,Neutral gear sensor voltage not plausible high circuit short to battery open,14.0
Telematics Bosch PV,U300616,Description not available,14.0
IPC Pricol PV,U010008,Lost communication with ECM/PCM A BUS signal/message failure,14.0
FATC BEHR Falcon4,NO DTC PRESENT,ECU Communication Failed,14.0
TPMS,NO DTC PRESENT,ECU Communication Failed,14.0
EMS Bosch XETA Cube Falcon4,NO DTC PRESENT,Clutch pedal teat failed,14.0
AirBag Bosch AB12,B10341B,Driver Seat Belt Anchor Pretensioner Deployment Control Circuit Rsistance Above Threshold,14.0
EMS Bosch XETA Cube Falcon4,NO DTC PRESENT,Not Started,14.0
VECU Bosch 1.0,P303F13,Telematics ECU Hardware Wakeup activation line - circuit open,13.0
ESP Bosch 9.3,NO DTC PRESENT,Before power latch universal clear DTC failed,13.0
EPAS MANDO PV,U010008,Lost communication with ECM/PCM A BUS signal/message failure,13.0
BCM Hella,NO DTC PRESENT,Before power latch universal clear DTC failed,13.0
ABS Bosch 9.3,NO DTC PRESENT,Reset ECU Failed,13.0
VECU Bosch 1.0,P303386,Traction cooling pump- low fluid level,12.0
BCM Hella,B165306,LBIBS Module Transponder Key Authentication failure - Algorithm Based failure,12.0
VECU Bosch 1.0,P308568,E drive MCU level 3 Fault CAN signal Received By VECU Event Information,12.0
VECU Bosch 1.0,P300815,power distribution unit positive bushbar thermistor circuit short to battery,12.0
VECU Bosch 1.0,P304168,VECU received BMS derate Flag CAN signal From BMS,12.0
IPC Pricol PV,U130908,Lost Communication With Antilock Braking System/Electronic Stability- Program (ABS/ESP) Control Module,11.0
VECU Bosch 1.0,P308113,VECU PWM output line to Radiator fan controller circuit open,11.0
IHU Visteon MID,B1C5E13,RVC/DMS Camera output Power circuit open,11.0
IPC Pricol PV,NO DTC PRESENT,Before power latch universal clear DTC failed,11.0
IHU Visteon MID,U016408,Lost communication with HVAC control mopdule BUS signal,11.0
VECU Bosch 1.0,U132C08,Lost communication with gear selector switch module Bus Signal,11.0
BCM Hella,B250311,Reverse gear selection switch circuit short to ground,11.0
AirBag Bosch AB12,B00101B,Passenger Airbag Deployment Control Circuit Resistance Above Threshold,10.0
TCU Magnetti Marreili Nano,NO DTC PRESENT,Brake Pedal Test Failed,10.0
EMS Bosch XETA Cube Falcon4,P070314,Brake Switch B circuit short to ground or open,10.0
VECU Bosch 1.0,P306285,Interlock Charge Plug signal above allowable range,10.0
VECU Bosch 1.0,P30B015,Regan Switch sensor input to VECU circuit short to battery or open,10.0
ABS Mando,C003A14,Rear Right wheel speed sensor open/short to GND,9.0
VECU Bosch 1.0,NO DTC PRESENT,Fleet Vehicle Forward Speed Limit Parameter mismatch,9.0
VECU Bosch 1.0,P300E15,Brake Pedal sensor 2 circuit short to ground,9.0
PEPS Marquardt Osprey,NO DTC PRESENT,Before power latch universal clear DTC failed,9.0
ESCL Marquardt  Osprey,NO DTC PRESENT,Before power latch universal clear DTC failed,9.0
EPAS MANDO PV,U130908,Lost Communication With Antilock Braking System/Electronic Stability- Program (ABS/ESP) Control Module,9.0
BCM Hella,B225C09,Combined switch failure component failure,8.0
BCM Hella,B160914,Door Lock Relay circuit short to ground or open,8.0
IHU Harman,NO DTC PRESENT,ECU Start Diagnostics Failed,8.0
BCM Hella,NO DTC PRESENT,AES key mismatch,7.0
IPC Pricol PV,B190915,Fuel Level Sensor Input Circuit Short to battery Or Open,7.0
FATC BEHR Falcon4,NO DTC PRESENT,Air temprature Actuator  motor missing calibration,7.0
VECU Bosch 1.0,P301785,DC charging Inlet temprature sensor  signal above allowable range,7.0
EMS Bosch XETA Cube Falcon4,NO DTC PRESENT,Accelarator Test Failed,7.0
IHU Harman,NO DTC PRESENT,ECU VIN NUMBER MISMATCH,7.0
ESP Bosch 9.3,NO DTC PRESENT,ECU communication failed,7.0
VECU Bosch 1.0,U015108,Lost Communication Restraints Control Module Bus Signal /Message Failure,7.0
BCM Hella,B222D12,Low beam switch circuit short to battery,7.0
BCM Hella,B222715,Left stop lamp circuit short to battery,7.0
IHU Harman,B1C5D11,Description not available,7.0
Telematics Bosch PV,U003713,Vehicle communication BUS B circuit open,7.0
FATC BEHR Falcon4,B1F2814,Blower Motor Diagonastic Feedback Circuit Short to Ground or Open,6.0
BCM Hella,B221712,Hazard Switch Circuit short to Battery,6.0
TPMS,NO DTC PRESENT,Application Software Identification parameter Reading failed,6.0
IPC Pricol PV,U013108,Lost communication with Power Steering Control Module BUS signal/message failure,6.0
PEPS Marquardt Osprey,B132113,Drive signal for Front Antenna- circuit open,6.0
EMS Bosch XETA Cube Falcon4,P061513,Starter Relay A circuit open,6.0
BCM Hella,NO DTC PRESENT,Reset ECU Failed,6.0
IHU Visteon MID,NO DTC PRESENT,Clear DTC failed,6.0
TCU Magnetti Marreili Nano,P071002,Engine Water Temprature Signal Not valid,6.0
VECU Bosch 1.0,U132B08,Lost Communication With Compressor Module Bus signal/Message failure,6.0
BCM Hella,NO DTC PRESENT,ECU communication failed,6.0
BCM Hella,B221F15,Left Turn Fog Lamp Circuit short to battery,5.0
BCM Hella,B192513,Proximity Sensor Rear LH Input Circuit Open,5.0
IHU Harman,NO DTC PRESENT,Software version number mismatch,5.0
PEPS Marquardt Osprey,U160981,Invalid data Received fron anti lock braking system electric stabilty Program (ABS/ESP) control module,5.0
BCM Hella,B224215,Right Turn Fog Lamp Circuit short to battery,5.0
BCM Hella,B223811,Rear De Fogger Switch- Signal Short to Ground,5.0
VECU Bosch 1.0,P302F13,PTC Contractor low side activation line circuit open,5.0
ESCL Marquardt  Osprey,U161781,Invalid data received from PEPS invalid serial data received,5.0
EMS Bosch XETA Cube Falcon4,P001313,B camshaft position  Actuator A control circuit  Open Bank 1 circuit open,5.0
EMS Bosch XETA Cube Falcon4,P001013,A Camshaft position Actuator A control circuit Open Bank 1 circuit open,5.0
VECU Bosch 1.0,P308468,High Voltage Battery Level 3 Fault CAN Signal Received by VECU  Event Information,5.0
BMS gotion 1.0,P30C487,Smoke sensor CAN Loss - Missing message,5.0
EMS Bosch XETA Cube Falcon4,P01A115,DFC PTNG Electric Max Error For CNG Tank Pressure Sensor Tanl pressure Sensor short to battery,5.0
AirBag Bosch AB12,B10351B,Passenger Seat Belt Anchor pretensioner Deployment Control Circuit Resistance above threshold,5.0
IPC Pricol PV,B193F4A,VIN number mismatch to ODH learning -incorrect component installed,4.0
IHU Harman,NO DTC PRESENT,ECU software mismatch,4.0
BCM Hella,B221A12,Head Lamp On Signal Circuit Short To Battery,4.0
BCM Hella,B225C09,Combination Switch Failure Component Failure,4.0
BCM Hella,U161481,Odometer Storage Fault Invalid Serial Data Received,4.0
EMS Bosch XETA Cube Falcon4,P012014,Throttle /Pedal position sensor/Switch A circuit short to Ground or Open,4.0
ABS Mando,C003114,Front Left Wheel Speed Sensor Open / Short to ground,4.0
ABS Mando,U010008,Lost communication with ECM/PCM A BUS signal/message failure,4.0
MCU Shanghai 1.0,P130100,HV under/over voltage fault,4.0
VECU Bosch 1.0,U132908,Lost Communication With DC Dc Converter Module Bus Signal/Message Failure,4.0
EMS Bosch XETA Cube Falcon4,P081713,Crank Inhibit Starter Relay open Circuit circuit open,4.0
VECU Bosch 1.0,U016408,Lost Communication With HVAC Control Module Bus Signal /Message Failure,4.0
IHU Harman,B1C4D08,Button Panel LIN- BUS Signal /Message Failure,4.0
FATC BEHR Falcon4,B1F3A09,Climate Control Panel Off switch Component Failure,4.0
EMS Bosch XETA Cube Falcon4,NO DTC PRESENT,AES key mismatch,4.0
VECU Bosch 1.0,U012108,Lost Communication With Antilock Braking System/Electronic Stability- Program (ABS/ESP) Control Module,4.0
BMS gotion 1.0,NO DTC PRESENT,Failed due to unsuccsssful flashing,4.0
EMS Bosch XETA Cube Falcon4,P064513,A/C Clutch Realy Control Circuit open,4.0
TCU Magnetti Marreili Nano,P174F03,Clutch closed position selftune Min type Error,4.0
VECU Bosch 1.0,P300612,Accelerator Pedal Sensor 2 CirCuit Short to ground,4.0
BCM Hella,U100011,Accessory  Powermode Input- Circuit Short to Ground,4.0
TCU Magnetti Marreili Nano,P140107,Level2 intake vention safety input failure,4.0
TCU Magnetti Marreili Nano,P082303,Gear Lever Sensor Circuit Signalin Mediumrange,4.0
IHU Harman,NO DTC PRESENT,Parameter Part number for infortainment head unit Parameter mismatch,4.0
TCU Magnetti Marreili Nano,P290602,Actual Engine torque Signal not valid wisher engine Torque,3.0
PEPS Marquardt Osprey,U010108,Lost communication with TCM BUS siganl,3.0
TCU Magnetti Marreili Nano,P290604,Wished engine Torque signal not valid,3.0
PEPS Marquardt Osprey,B164B14,Crank Relay feedback-circuit short to ground open,3.0
PEPS Marquardt Osprey,B164B14,Crank relay feedback circuit short to ground or open,3.0
TCU Magnetti Marreili Nano,P080504,"Clutch Position Sensing PWM DUTY low (Sensor Algorytm Error,Sensor problem,Magnet Lost)",3.0
BCM Hella,B222E12,Main Beam Switch- Circuit Short to Battery,3.0
FATC BEHR Falcon4,U015508,Lost Communication With Instrument Panel Cluster Control Module Bus Signal /Message failure,3.0
IPC Pricol PV,U016408,Lost communication with HVAC Control Module BUS signal/message failure,3.0
VECU Bosch 1.0,NO DTC PRESENT,Reverse reading failed,3.0
AirBag Bosch AB12,NO DTC PRESENT,Configuration Parameter Reading Failed,3.0
FATC BEHR Falcon4,NO DTC PRESENT,Parameter Mismatch AQI Feature Activation,3.0
BCM Hella,U131508,Lost communication with PEPS BUS signal/message failure,3.0
BCM Hella,U100F12,Ignition PowerMode Input- Circuit Short to Battery,3.0
AirBag Bosch AB12,B103A12,Rear passenger Seat belt buckle switch circuit short to battery,3.0
BCM Hella,B132612,Express down output - Circuit Short to Battery,3.0
FATC BEHR Falcon4,U132008,Description not available,3.0
EMS Bosch XETA Cube Falcon4,P011215,Intake Air temprature sensor 1 circuit low bank 1 Circuit short to battery open,3.0
VECU Bosch 1.0,NO DTC PRESENT,Parameter reading failed,2.0
TCU Magnetti Marreili Nano,P290603,Engine loss torque signal not valid,2.0
TCU Magnetti Marreili Nano,P290702,Engine Maximum torque signal not valid,2.0
BCM Hella,B162D14,Tailgate Unlock Signal- Circuit Short To Ground Open,2.0
AirBag Bosch AB12,B103E06,Mismatch in Algo and Sensor Configuration Algorithm Based Failure,2.0
VECU Bosch 1.0,U132208,Lost Communication With Battery Management System (BMS) module,2.0
BCM Hella,B223612,Position Lamp Switch - Circuit Short to Battery,2.0
VECU Bosch 1.0,P301785,DC Charging Inlet temperature Sensor on Netural connection circuit short to battery or open,2.0
AirBag Bosch AB12,NO DTC PRESENT,ECU VIN NUMBER MISMATCH,2.0
AirBag Bosch AB12,NO DTC PRESENT,Parameter Part Number For Restraint Control Module Parameter reading Failed,2.0
ABS Mando,U160456,Control Module Configuration Invalid/ Incompatible Configuration,2.0
FATC BEHR Falcon4,B1F1B15,BCM Configuration Error Invalid / Incompatible Configuration,2.0
IHU Visteon MID,B190B15,Ambient Air Temperature Sensor input circuit short to Battery or open,2.0
PEPS Marquardt Osprey,B132212,Hardwired wakeup input circuit short to battery,2.0
FATC BEHR Falcon4,NO DTC PRESENT,Reset ECU Failed,2.0
IHU Visteon MID,NO DTC PRESENT,Before power latch universal clear DTC failed,2.0
BMS gotion 1.0,P307273,BMS Neg Main Rly HW Third Level Fault,2.0
BMS gotion 1.0,P307373,Description not available,2.0
IPC Pricol PV,U012708,Lost Communication With Tire Pressure Monitor Module- Bus Signal/Message Failure,2.0
FATC BEHR Falcon4,B1F2A12,Cabin Temperature sensor circuit short to battery,2.0
EMS Bosch XETA Cube Falcon4,P010515,Manifold Absolute pressure barometric pressure circuit high Circuit short to battery or open,2.0
IPC Pricol PV,U131508,Lost Communication with Passive Entry Passive Start(PEPS)-Bus signal,2.0
IPC Pricol PV,U132008,Lost Communication With VCU,2.0
BCM Hella,U160981,Invalid Data Received From invalid Data Received From Antilock Baking System/Electronic Stability Program,2.0
EMS Bosch XETA Cube Falcon4,P011815,Engine coolant  Temperature sensor 1 circuit low,2.0
MCU Shanghai 1.0,NO DTC PRESENT,Failed due to unsuccsssful flashing,2.0
IPC Pricol PV,U160455,Control Module Configuration - not Configured,2.0
EMS Bosch XETA Cube Falcon4,U042381,Invalid  Data Received From instrument Panel Cluster Control Module Invalid serial Data Received,2.0
ESP Bosch 9.3,NO DTC PRESENT,"ESP Vehicle Drive Configuration Parameter Reading Failed, Parameter Part number For ESP parameter reading failed",2.0
EMS Bosch XETA Cube Falcon4,P018315,CNG Rall Temprature sensor Circuit High circuit short to battery,2.0
EMS Bosch XETA Cube Falcon4,P048113,Fan 2 Control Circuit Open,2.0
PEPS Marquardt Osprey,B164A14,IGN relay feedback circuit short to ground,2.0
PEPS Marquardt Osprey,NO DTC PRESENT,ECU Start Diagonastic Failed,2.0
AirBag Bosch AB12,B101055,Crash Output HW - Not Configurated,1.0
BMS gotion 1.0,NO DTC PRESENT,ECU COMMUNICATION FAILED,1.0
EMS Bosch XETA Cube Falcon4,U0121-31,Lost Communication With Antilock Braking System/Electronic Stability- Program (ABS/ESP) Control Module,1.0
BMS gotion 1.0,P12311A,BMS Inslation Fault Third level alam Circuit Resistance below Threshold,1.0
BMS gotion 1.0,P306B1C,BMS Cell Voltage Sampling fault discharging First Level Fault,1.0
EMS Bosch XETA Cube Falcon4,U014031,Frame Is Not Recived Within The Stipulated Time Period,1.0
BMS gotion 1.0,P306C1C,BMS Cell Voltage Sampling fault charging second Level Fault,1.0
ESP Bosch 9.3,NO DTC PRESENT,Inertial Sensor Calibration failed Reset ECU failed,1.0
VECU Bosch 1.0,P304709,MCU Contactor Weld  Component Failure,1.0
VECU Bosch 1.0,P304B09,HV fuse of MCU Component Failures,1.0
ABS Mando,NO DTC PRESENT,Parameter Part Number For ABS Parameter Reading Failed,1.0
EPAS MANDO PV,C130401,Description not available,1.0
EMS Bosch XETA Cube Falcon4,NO DTC PRESENT,User Customization Settings Parameter Mismatch,1.0
EMS Bosch XETA Cube Falcon4,P019315,DFC Max Error Natural gas Rail Pressure Sensor Circuit High- Circuit Short to Ground,1.0
VECU Bosch 1.0,P308C1A,Isolation Resistance Value Recived From BMS Over4 CAN - CirCuit,1.0
ABS Mando,NO DTC PRESENT,Before power latch universal clear DTC failed,1.0
AirBag Bosch AB12,NO DTC PRESENT,Failed due to unsuccsssful flashing,1.0
TCU Magnetti Marreili Nano,NO DTC PRESENT,ECU VIN NUMBER MISMATCH,1.0
AirBag Bosch AB12,NO DTC PRESENT,Passenger SBR Switch & Chime parameter Reading Failed,1.0
BCM Hella,B224711,Right Position Lamps- Circuit Short to Ground,1.0
PEPS Marquardt Osprey,U042281,Invalid Data Received From Body Control Module - Invalid Serial Data Received,1.0
PEPS Marquardt Osprey,NO DTC PRESENT,Vehicle Manufacturer ECU Software Version PEPS Parameter Mismatch ECU,1.0
PEPS Marquardt Osprey,NO DTC PRESENT,Application Software Identification PEPS parameter Reading failed,1.0
PEPS Marquardt Osprey,B164914,Acc Relay Feedback Circuit open,1.0
BCM Hella,B22411,Left Position Lamps- Circuit Short to Ground,1.0
TCU Magnetti Marreili Nano,P1C2702,ASR Brake Control Active Signal Not Valid,1.0
TCU Magnetti Marreili Nano,P1C2A02,Vehicle Dynamics Control Signal Not Valid,1.0
TCU Magnetti Marreili Nano,P290302,Gas pedal not valid,1.0
PEPS Marquardt Osprey,B164405,No UID Pairing Done System Programming Failure,1.0
PEPS Marquardt Osprey,B13F13,Drive signal for Right Antenna- circuit open,1.0
EMS Bosch XETA Cube Falcon4,P210113,Throttle Actuator Control Motor Circuit Range Perfomance circuit open,1.0
TCU Magnetti Marreili Nano,U160900,Hill Hold Signal Not valid,1.0
IPC Pricol PV,U040181,Invalid data received From ECM/PCM invalid serial data received,1.0
BCM Hella,U13388,LIN Bus B bus off,1.0
IPC Pricol PV,U023608,Lost Communication With Column Lock Module (ESCL)- Bus Signal,1.0
BCM Hella,B1F0011,Accessory delay signal circuit short to ground,1.0
IPC Pricol PV,U010108,Lost communication with TCM BUS siganl,1.0
BCM Hella,C132900,Tuning set variant is not selected,1.0
IPC Pricol PV,NO DTC PRESENT,CNG signal configuration parameter reading failed,1.0
BCM Hella,NO DTC PRESENT,"Left Antenna Failure Limited Function Config Parameter Reading Failed ,Read DTC failed",1.0
BCM Hella,NO DTC PRESENT,OBC Wake Up Command Writing failed,1.0
VECU Bosch 1.0,P240300,VCU Internal Error - No Sub Type Information,1.0
BCM Hella,U101012,Key In Signal - Circuit Short to battery,1.0
TCU Magnetti Marreili Nano,NO DTC PRESENT,Hydraulic sensor pressure reading failed,1.0
AirBag Bosch AB12,NO DTC PRESENT,REAR SBR TELL TALE and Chime Parameter Reading Failed,1.0
BCM Hella,U132087,Lost Communication With Vehicle Control Unit (VCU) - Missing Calibration,1.0
EMS Bosch XETA Cube Falcon4,P217600,Throttle Actuator Control Motor Circuit Range Perfomance circuit open,0.0
